nome_bairro,desc_atividade,nome_grupo,n
VARZEA,ATIVIDADES DE APOIO À PECUÁRIA NÃO ESPECIFICADAS ANTERIORMENTE,OUTROS SERVICOS,2
VARZEA,ATIVIDADES DE CONTABILIDADE,"JURIDICO, ECONOMICO E TECNICO ADMINISTRATIVO",2
VARZEA,CARGA E DESCARGA,TRANSPORTE E COMUNICACAO,2
VARZEA,"COM ATAC DE CEREAIS E LEGUM BEN, FARIN, AMIDOS E FÉC, C/ ATIV DE FRAC E ACOND ASSOC",COMERCIO ATACADISTA,2
VARZEA,"COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS NOVOS","ELETRODOMESTICO, VEICULO, PECAS E ACESSORIOS",2
VARZEA,Comercio a varejo de peças e acessórios novos para motocicletas e motonetas,OUTRAS ATIVIDADES VAREJISTAS,2
VARZEA,COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS NOVOS PARA VEÍCULOS AUTOMOTORES,"ELETRODOMESTICO, VEICULO, PECAS E ACESSORIOS",2
VARZEA,"COMÉRCIO ATACADISTA DE CERVEJA, CHOPE E REFRIGERANTE",COMERCIO ATACADISTA,2
VARZEA,COMÉRCIO ATACADISTA DE EMBALAGENS,COMERCIO ATACADISTA,2
VARZEA,COMÉRCIO ATACADISTA DE LEITE E LATICÍNIOS,COMERCIO ATACADISTA,2
VARZEA,"COMÉRCIO ATACADISTA DE PÃES, BOLOS, BISCOITOS E SIMILARES",COMERCIO ATACADISTA,2
VARZEA,COMÉRCIO POR ATACADO DE PEÇAS E ACESSÓRIOS NOVOS PARA VEÍCULOS AUTOMOTORES,COMERCIO ATACADISTA,2
VARZEA,"COMÉRCIO VAREJISTA DE DOCES, BALAS, BOMBONS E SEMELHANTES",OUTRAS ATIVIDADES VAREJISTAS,2
VARZEA,COMÉRCIO VAREJISTA DE LATICÍNIOS E FRIOS,OUTRAS ATIVIDADES VAREJISTAS,2
VARZEA,COMÉRCIO VAREJISTA DE MATERIAIS DE CONSTRUÇÃO EM GERAL,OUTRAS ATIVIDADES VAREJISTAS,2
VARZEA,COMÉRCIO VAREJISTA DE MATERIAL ELÉTRICO,OUTRAS ATIVIDADES VAREJISTAS,2
VARZEA,COMÉRCIO VAREJISTA DE MEDICAMENTOS VETERINÁRIOS,OUTRAS ATIVIDADES VAREJISTAS,2
VARZEA,COMÉRCIO VAREJISTA DE MÓVEIS,OUTRAS ATIVIDADES VAREJISTAS,2
VARZEA,COMÉRCIO VAREJISTA DE OUTROS PRODUTOS NÃO ESPECIFICADOS ANTERIORMENTE,OUTRAS ATIVIDADES VAREJISTAS,2
VARZEA,"COMÉRCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS",OUTRAS ATIVIDADES VAREJISTAS,2
VARZEA,COMÉRCIO VAREJISTA ESPECIALIZADO DE ELETRODOMÉSTICOS E EQUIP DE ÁUDIO E VÍDEO,"ELETRODOMESTICO, VEICULO, PECAS E ACESSORIOS",2
VARZEA,"CORRETORES E AGENTES DE SEGUROS, DE PLANOS DE PREVID COMPLEMENTAR E DE SAÚDE",INSTITUICOES FINANCEIRAS E SECURITARIAS,2
VARZEA,DEPOSITO DE MERCADORIAS PROPRIAS,GUARDA E LOCACAO DE BENS MOVEIS,2
VARZEA,EDIÇÃO DE LIVROS,"FOTOGRAFICO, CINEMATOGRAFICO, REPROGRAFICO",2
VARZEA,ENSINO DE ESPORTES,EDUCACAO,2
VARZEA,ENSINO DE IDIOMAS,EDUCACAO,2
VARZEA,"ESTAMPARIA E TEXTURIZAÇÃO EM FIOS, TECIDOS, ARTEFATOS TÊXTEIS E PEÇAS DO VESTUÁRIO",OUTROS SERVICOS,2
VARZEA,"EXTRAÇÃO DE AREIA, CASCALHO OU PEDREGULHO E BENEFICIAMENTO ASSOCIADO",ATIVIDADES AGROPECUARIAS E EXTRATIVAS,2
VARZEA,"FABRICAÇÃO DE ARTEFATOS DIVERSOS DE MADEIRA, EXCETO MÓVEIS",INDUSTRIA GERAL,2
VARZEA,FABRICAÇÃO DE ESQUADRIAS DE METAL,INDUSTRIA GERAL,2
VARZEA,"FABRICAÇÃO DE MÓVEIS DE OUTROS MATERIAIS, EXCETO MADEIRA E METAL",INDUSTRIA GERAL,2
VARZEA,FABRICAÇÃO DE PAPEL,INDUSTRIA GERAL,2
VARZEA,IMPRESSÃO DE JORNAIS,"FOTOGRAFICO, CINEMATOGRAFICO, REPROGRAFICO",2
VARZEA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,CONSTRUCAO CIVIL,2
